Parameter,S1,S1_conf,ST,ST_conf,S2_n_tribes_n_agents,S2_conf_n_tribes_n_agents,S2_n_tribes_n_heaps,S2_conf_n_tribes_n_heaps,S2_n_tribes_vision_radius,S2_conf_n_tribes_vision_radius,S2_n_tribes_alpha,S2_conf_n_tribes_alpha,S2_n_tribes_trade_percentage,S2_conf_n_tribes_trade_percentage,S2_n_tribes_spice_movement_bias,S2_conf_n_tribes_spice_movement_bias,S2_n_tribes_tribe_movement_bias,S2_conf_n_tribes_tribe_movement_bias,S2_n_tribes_spice_threshold,S2_conf_n_tribes_spice_threshold,S2_n_agents_n_heaps,S2_conf_n_agents_n_heaps,S2_n_agents_vision_radius,S2_conf_n_agents_vision_radius,S2_n_agents_alpha,S2_conf_n_agents_alpha,S2_n_agents_trade_percentage,S2_conf_n_agents_trade_percentage,S2_n_agents_spice_movement_bias,S2_conf_n_agents_spice_movement_bias,S2_n_agents_tribe_movement_bias,S2_conf_n_agents_tribe_movement_bias,S2_n_agents_spice_threshold,S2_conf_n_agents_spice_threshold,S2_n_heaps_vision_radius,S2_conf_n_heaps_vision_radius,S2_n_heaps_alpha,S2_conf_n_heaps_alpha,S2_n_heaps_trade_percentage,S2_conf_n_heaps_trade_percentage,S2_n_heaps_spice_movement_bias,S2_conf_n_heaps_spice_movement_bias,S2_n_heaps_tribe_movement_bias,S2_conf_n_heaps_tribe_movement_bias,S2_n_heaps_spice_threshold,S2_conf_n_heaps_spice_threshold,S2_vision_radius_alpha,S2_conf_vision_radius_alpha,S2_vision_radius_trade_percentage,S2_conf_vision_radius_trade_percentage,S2_vision_radius_spice_movement_bias,S2_conf_vision_radius_spice_movement_bias,S2_vision_radius_tribe_movement_bias,S2_conf_vision_radius_tribe_movement_bias,S2_vision_radius_spice_threshold,S2_conf_vision_radius_spice_threshold,S2_alpha_trade_percentage,S2_conf_alpha_trade_percentage,S2_alpha_spice_movement_bias,S2_conf_alpha_spice_movement_bias,S2_alpha_tribe_movement_bias,S2_conf_alpha_tribe_movement_bias,S2_alpha_spice_threshold,S2_conf_alpha_spice_threshold,S2_trade_percentage_spice_movement_bias,S2_conf_trade_percentage_spice_movement_bias,S2_trade_percentage_tribe_movement_bias,S2_conf_trade_percentage_tribe_movement_bias,S2_trade_percentage_spice_threshold,S2_conf_trade_percentage_spice_threshold,S2_spice_movement_bias_tribe_movement_bias,S2_conf_spice_movement_bias_tribe_movement_bias,S2_spice_movement_bias_spice_threshold,S2_conf_spice_movement_bias_spice_threshold,S2_tribe_movement_bias_spice_threshold,S2_conf_tribe_movement_bias_spice_threshold
n_tribes,0.01739455593367075,0.010542333887447523,0.01848367180484586,0.0020340468517836986,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
n_agents,0.9794129323569538,0.07336186514410549,0.9923273829353128,0.0598508313642134,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
n_heaps,-0.0006528791057553616,0.0074428447637568985,0.006865062744737688,0.0007448888635389356,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
vision_radius,0.004472882628134196,0.006540938813886951,0.006615050117669232,0.0008257187232437302,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
alpha,0.003613073737015185,0.006277171199452748,0.007162463217733618,0.0009522728925744405,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
trade_percentage,0.007264333922048849,0.007358304104726182,0.007578341501301588,0.0010133719741381893,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
spice_movement_bias,0.010270774313687794,0.006270824511910762,0.006838674760562331,0.0007257769614167401,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
tribe_movement_bias,0.006665933649980937,0.006444606261978203,0.007171513671086865,0.0009177226049156318,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
spice_threshold,0.008840137869242008,0.007163993021923039,0.007661439415440452,0.0009558678047027197,-0.0037988446008117016,0.020282185691873712,-0.005188671089023756,0.017375761328728704,-0.005591588374063848,0.017421753287264634,-0.005782516644338218,0.01734059715442665,-0.005846199989589172,0.017427290673285405,-0.005586586622870437,0.017393513817580485,-0.005830829439573461,0.01741921815874512,-0.005448748101218282,0.017436575986556666,0.016054402477804947,0.08212380909531168,0.008923890989956357,0.08312837034758529,0.0066450360101284,0.08176372298102401,0.003751148281728944,0.08159462929004728,0.0021294615893187457,0.08244053832134561,0.0053760992256200795,0.08127553020504436,0.004380755421418666,0.08161396783714486,-0.0018348002395426107,0.010584184019814365,-0.0017737395353668564,0.010616324754658915,-0.0015343345547900464,0.01075345086942642,-0.0020225532408009415,0.010662433983740805,-0.0018021155751429636,0.010625056382501047,-0.0018372636488382388,0.010642081021632917,-0.004057449692290873,0.010123157958023432,-0.004215702664740865,0.010143345982799314,-0.004183345830475618,0.010148024928723944,-0.004205582080163184,0.010206439968373143,-0.004168092362650763,0.010143483322344294,-0.0076889965896913375,0.009442240442537607,-0.008175899271876997,0.00957480373007517,-0.008621073861241214,0.009454830088890394,-0.008039034874052768,0.00949171931679018,-0.00875628182962325,0.011308049743648432,-0.009090738816025425,0.011381041715180451,-0.008324459293304366,0.011352274570873013,-0.01616915039553459,0.009572579654342103,-0.015549143995495033,0.009635735278720707,-0.01099653698263414,0.009355555999425082
