Parameter,S1,S1_conf,ST,ST_conf,S2_width_height,S2_conf_width_height,S2_width_n_tribes,S2_conf_width_n_tribes,S2_width_n_agents,S2_conf_width_n_agents,S2_width_n_heaps,S2_conf_width_n_heaps,S2_width_vision_radius,S2_conf_width_vision_radius,S2_width_step_count,S2_conf_width_step_count,S2_width_alpha,S2_conf_width_alpha,S2_width_trade_percentage,S2_conf_width_trade_percentage,S2_width_spice_movement_bias,S2_conf_width_spice_movement_bias,S2_width_tribe_movement_bias,S2_conf_width_tribe_movement_bias,S2_width_spice_threshold,S2_conf_width_spice_threshold,S2_height_n_tribes,S2_conf_height_n_tribes,S2_height_n_agents,S2_conf_height_n_agents,S2_height_n_heaps,S2_conf_height_n_heaps,S2_height_vision_radius,S2_conf_height_vision_radius,S2_height_step_count,S2_conf_height_step_count,S2_height_alpha,S2_conf_height_alpha,S2_height_trade_percentage,S2_conf_height_trade_percentage,S2_height_spice_movement_bias,S2_conf_height_spice_movement_bias,S2_height_tribe_movement_bias,S2_conf_height_tribe_movement_bias,S2_height_spice_threshold,S2_conf_height_spice_threshold,S2_n_tribes_n_agents,S2_conf_n_tribes_n_agents,S2_n_tribes_n_heaps,S2_conf_n_tribes_n_heaps,S2_n_tribes_vision_radius,S2_conf_n_tribes_vision_radius,S2_n_tribes_step_count,S2_conf_n_tribes_step_count,S2_n_tribes_alpha,S2_conf_n_tribes_alpha,S2_n_tribes_trade_percentage,S2_conf_n_tribes_trade_percentage,S2_n_tribes_spice_movement_bias,S2_conf_n_tribes_spice_movement_bias,S2_n_tribes_tribe_movement_bias,S2_conf_n_tribes_tribe_movement_bias,S2_n_tribes_spice_threshold,S2_conf_n_tribes_spice_threshold,S2_n_agents_n_heaps,S2_conf_n_agents_n_heaps,S2_n_agents_vision_radius,S2_conf_n_agents_vision_radius,S2_n_agents_step_count,S2_conf_n_agents_step_count,S2_n_agents_alpha,S2_conf_n_agents_alpha,S2_n_agents_trade_percentage,S2_conf_n_agents_trade_percentage,S2_n_agents_spice_movement_bias,S2_conf_n_agents_spice_movement_bias,S2_n_agents_tribe_movement_bias,S2_conf_n_agents_tribe_movement_bias,S2_n_agents_spice_threshold,S2_conf_n_agents_spice_threshold,S2_n_heaps_vision_radius,S2_conf_n_heaps_vision_radius,S2_n_heaps_step_count,S2_conf_n_heaps_step_count,S2_n_heaps_alpha,S2_conf_n_heaps_alpha,S2_n_heaps_trade_percentage,S2_conf_n_heaps_trade_percentage,S2_n_heaps_spice_movement_bias,S2_conf_n_heaps_spice_movement_bias,S2_n_heaps_tribe_movement_bias,S2_conf_n_heaps_tribe_movement_bias,S2_n_heaps_spice_threshold,S2_conf_n_heaps_spice_threshold,S2_vision_radius_step_count,S2_conf_vision_radius_step_count,S2_vision_radius_alpha,S2_conf_vision_radius_alpha,S2_vision_radius_trade_percentage,S2_conf_vision_radius_trade_percentage,S2_vision_radius_spice_movement_bias,S2_conf_vision_radius_spice_movement_bias,S2_vision_radius_tribe_movement_bias,S2_conf_vision_radius_tribe_movement_bias,S2_vision_radius_spice_threshold,S2_conf_vision_radius_spice_threshold,S2_step_count_alpha,S2_conf_step_count_alpha,S2_step_count_trade_percentage,S2_conf_step_count_trade_percentage,S2_step_count_spice_movement_bias,S2_conf_step_count_spice_movement_bias,S2_step_count_tribe_movement_bias,S2_conf_step_count_tribe_movement_bias,S2_step_count_spice_threshold,S2_conf_step_count_spice_threshold,S2_alpha_trade_percentage,S2_conf_alpha_trade_percentage,S2_alpha_spice_movement_bias,S2_conf_alpha_spice_movement_bias,S2_alpha_tribe_movement_bias,S2_conf_alpha_tribe_movement_bias,S2_alpha_spice_threshold,S2_conf_alpha_spice_threshold,S2_trade_percentage_spice_movement_bias,S2_conf_trade_percentage_spice_movement_bias,S2_trade_percentage_tribe_movement_bias,S2_conf_trade_percentage_tribe_movement_bias,S2_trade_percentage_spice_threshold,S2_conf_trade_percentage_spice_threshold,S2_spice_movement_bias_tribe_movement_bias,S2_conf_spice_movement_bias_tribe_movement_bias,S2_spice_movement_bias_spice_threshold,S2_conf_spice_movement_bias_spice_threshold,S2_tribe_movement_bias_spice_threshold,S2_conf_tribe_movement_bias_spice_threshold
width,-0.015631639670638332,302.7041425274071,1.0550608085768445,517.515083092346,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
height,-0.01992176677523945,108.25547786137648,1.0696832139246473,241.11592078309846,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
n_tribes,-0.0047507289193645455,22.052526930002628,0.678189411603625,5.839537021543684,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
n_agents,-0.0035113679327643255,6.6898904300286945,0.27785719366205747,1.0832159320145607,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
n_heaps,-0.04527250463235924,327.6813136922916,1.0518253747074904,5298.13905044882,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
vision_radius,-0.004437860637650044,120.62140310591182,0.17878158023746984,95.62234823961057,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
step_count,-0.002947833188363232,68.0654067076245,0.1947518969030848,44.7475304333012,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
alpha,-0.000122474477331393,12.635818735198958,0.05156456952314056,1.5848229961422087,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
trade_percentage,-0.004787694594006145,9.913327589351896,0.8068124101039095,2.377690351975033,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
spice_movement_bias,-0.00677123940321162,230.32101801516475,0.8828834181247721,858.0546021098395,0.02422341189837706,302.62792329574006,0.012355606871742036,302.6298827519432,-0.00573119556892172,302.63341535086687,-0.06985311137422301,302.6459470850327,-0.012359310720416657,302.6347101560237,-0.01112085858427677,302.63446821392336,-0.024204575151147177,302.6370244594317,0.016932016950051247,302.6289890711764,-0.09338762502216805,302.65054964955476,0.02427082160059774,302.62755608059126,0.017859706289752725,302.6288079197273,0.04412578249704568,108.00626336413076,0.08173768479724355,107.99782210113922,0.2150806148415438,107.96798973435214,0.09552099560247507,107.99473162040569,0.0929456072274,107.99530895267169,0.12015348274055515,107.98921244412593,0.03460903738327033,108.00840105950378,0.2640211520599454,107.95707718519033,0.019347832180076737,108.01183065849523,0.03267988705809507,108.008834485071,0.15328245539603516,21.972952794322833,0.47805960638661815,21.911142393647403,0.1868538221948118,21.966362593766696,0.1805810689346782,21.96759044979184,0.24685002140732332,21.95470028416433,0.03849340859719293,21.99583518525382,0.5972617886130055,21.889548345908423,0.0013224033933235367,22.0033604646878,0.03379466719234438,21.99678333012599,-0.05696222871140588,3.007532825453515,-0.015483775016581906,3.0005719295440008,-0.014590303390111279,3.0004277374805746,-0.024029448578005676,3.0019633384640154,0.005648224688137278,2.9972267400027475,-0.07394101987629063,3.010532443984245,0.010942748017808628,2.9964099701504727,0.006317498920879138,2.997123020191513,0.0949140593435628,327.7897126517444,0.09340290649654719,327.79000502878785,0.10936758931521226,327.78691650804205,0.05917293386086195,327.796629509077,0.19378438648242,327.77059693213624,0.05021816264464754,327.79836304596296,0.05804097215969728,327.7968486311744,-0.02048731089387843,117.49467942731403,-0.031569351762563765,117.49649575271268,0.003273759713746968,117.4907882488637,-0.09016809793475626,117.50611583364129,0.009489801818372584,117.48977101648909,0.004059522010222229,117.4906596451855,-0.04831787885436039,316.6719311948749,-0.0071971893610243195,330.099279266401,-0.11754190992545756,330.7876927215402,-0.0011779330552725079,367.3669853970246,-0.006929382954584335,348.7343834391647,0.003777249956346533,25.48232494968017,-0.03497033338576608,25.688882257829167,0.005955125032611272,36.720424305538636,0.003903370920655687,31.097393417937962,-0.07546481015840543,10.118895994876937,0.007324771794085279,10.110142090791745,0.00281363322588858,10.110602871307531,0.008037154767798383,230.2407635710434,0.03004077951337416,230.2366408665605,-0.006682478089953215,137.2155449816469
