Parameter,S1,S1_conf,ST,ST_conf
n_tribes,0.04061735404008637,0.05208856770964309,0.5338660138052148,0.0702714103342198
n_heaps,0.0346374279007109,0.05309676591412531,0.5398981999332911,0.05591070673200046
vision_radius,0.03407234504603263,0.05584229588308976,0.4587458022296832,0.05024108491758212
trade_percentage,0.019113234467717247,0.061405758986867634,0.44611097742977385,0.05137734250719681
spice_movement_bias,0.030196344998894516,0.05075500357073079,0.44333747227760434,0.04723620814089448
tribe_movement_bias,0.04413405944177521,0.04827212216823079,0.42573156242827465,0.0487798788402715
spice_threshold,0.4343282279650915,0.0811171543471899,0.9201410302339921,0.08206612420864892
