Parameter,S1,S1_conf,ST,ST_conf,S2_n_tribes_n_agents,S2_conf_n_tribes_n_agents,S2_n_tribes_n_heaps,S2_conf_n_tribes_n_heaps,S2_n_tribes_vision_radius,S2_conf_n_tribes_vision_radius,S2_n_tribes_alpha,S2_conf_n_tribes_alpha,S2_n_tribes_trade_percentage,S2_conf_n_tribes_trade_percentage,S2_n_tribes_spice_movement_bias,S2_conf_n_tribes_spice_movement_bias,S2_n_tribes_tribe_movement_bias,S2_conf_n_tribes_tribe_movement_bias,S2_n_tribes_spice_threshold,S2_conf_n_tribes_spice_threshold,S2_n_agents_n_heaps,S2_conf_n_agents_n_heaps,S2_n_agents_vision_radius,S2_conf_n_agents_vision_radius,S2_n_agents_alpha,S2_conf_n_agents_alpha,S2_n_agents_trade_percentage,S2_conf_n_agents_trade_percentage,S2_n_agents_spice_movement_bias,S2_conf_n_agents_spice_movement_bias,S2_n_agents_tribe_movement_bias,S2_conf_n_agents_tribe_movement_bias,S2_n_agents_spice_threshold,S2_conf_n_agents_spice_threshold,S2_n_heaps_vision_radius,S2_conf_n_heaps_vision_radius,S2_n_heaps_alpha,S2_conf_n_heaps_alpha,S2_n_heaps_trade_percentage,S2_conf_n_heaps_trade_percentage,S2_n_heaps_spice_movement_bias,S2_conf_n_heaps_spice_movement_bias,S2_n_heaps_tribe_movement_bias,S2_conf_n_heaps_tribe_movement_bias,S2_n_heaps_spice_threshold,S2_conf_n_heaps_spice_threshold,S2_vision_radius_alpha,S2_conf_vision_radius_alpha,S2_vision_radius_trade_percentage,S2_conf_vision_radius_trade_percentage,S2_vision_radius_spice_movement_bias,S2_conf_vision_radius_spice_movement_bias,S2_vision_radius_tribe_movement_bias,S2_conf_vision_radius_tribe_movement_bias,S2_vision_radius_spice_threshold,S2_conf_vision_radius_spice_threshold,S2_alpha_trade_percentage,S2_conf_alpha_trade_percentage,S2_alpha_spice_movement_bias,S2_conf_alpha_spice_movement_bias,S2_alpha_tribe_movement_bias,S2_conf_alpha_tribe_movement_bias,S2_alpha_spice_threshold,S2_conf_alpha_spice_threshold,S2_trade_percentage_spice_movement_bias,S2_conf_trade_percentage_spice_movement_bias,S2_trade_percentage_tribe_movement_bias,S2_conf_trade_percentage_tribe_movement_bias,S2_trade_percentage_spice_threshold,S2_conf_trade_percentage_spice_threshold,S2_spice_movement_bias_tribe_movement_bias,S2_conf_spice_movement_bias_tribe_movement_bias,S2_spice_movement_bias_spice_threshold,S2_conf_spice_movement_bias_spice_threshold,S2_tribe_movement_bias_spice_threshold,S2_conf_tribe_movement_bias_spice_threshold
n_tribes,1.5215360231752069,4.3739188293676093e-16,0.5139853395061729,4.3739188293676093e-16,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
n_agents,3.0013861279072573,0.0,2.0,0.0,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
n_heaps,2.0788821665158492,1.7495675317470437e-15,0.959502258203557,0.0,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
vision_radius,-1.2850762444200614,0.0,0.36664354604307053,1.0934797073419023e-16,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
alpha,0.5980205442822731,0.0,0.07939962688676581,2.7336992683547558e-17,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
trade_percentage,0.21578593076457397,1.0934797073419023e-16,0.01033790422487077,3.4171240854434447e-18,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
spice_movement_bias,-2.072385659745487,0.0,0.9535147392290245,0.0,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
tribe_movement_bias,0.7816109708091815,2.1869594146838046e-16,0.13563368055555555,0.0,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
spice_threshold,-1.2850762444200614,0.0,0.36664354604307053,1.0934797073419023e-16,-2.5661360971037133,8.747837658735219e-16,-2.1382437280348734,1.7495675317470437e-15,-0.5779120718614326,4.3739188293676093e-16,-1.4513638724243678,4.3739188293676093e-16,-1.274068943444864,8.747837658735219e-16,-0.21272806722509552,1.0934797073419023e-16,-1.5365200840318178,0.0,-0.5779120718614326,4.3739188293676093e-16,-6.344120644103131,5.248702595241132e-15,2.1133292024021877,0.0,-2.6210327310838686,8.747837658735219e-16,-1.6600428261804712,0.0,4.092732357967261,0.0,-3.0826040809561337,1.7495675317470437e-15,2.1133292024021877,0.0,4.337760702417818,0.0,-1.6017115414101433,4.3739188293676093e-16,-0.39610602434951714,2.1869594146838046e-16,6.821011933944911,1.7495675317470437e-15,-2.180773780340803,1.7495675317470437e-15,4.337760702417818,0.0,1.2850762444200616,4.3739188293676093e-16,1.2850762444200614,0.0,1.2850762444200614,0.0,1.2850762444200612,4.3739188293676093e-16,1.2850762444200614,0.0,-0.19735955805219418,1.6402195610128537e-16,1.5210018605893358,4.3739188293676093e-16,-0.6222804523358335,2.1869594146838046e-16,0.9297515673685997,2.1869594146838046e-16,1.3012414727230552,4.3739188293676093e-16,-0.23315381948473657,2.1869594146838046e-16,0.8779600128036644,2.1869594146838046e-16,2.0631227857614003,8.747837658735219e-16,2.655716829648547,8.747837658735219e-16,-0.7816109708091814,0.0
