Parameter,S1,S1_conf,ST,ST_conf
n_tribes,0.04998444338663281,0.06942380715877439,0.688620338022692,0.19337054404968218
n_heaps,0.014769611547753372,0.07940307383219702,0.6336789062019927,0.1094881523059585
vision_radius,0.005608060744782591,0.08181473855683301,0.6622224928285229,0.14419871754588265
trade_percentage,0.008068805887451432,0.06974392679229863,0.9031299514616387,0.35959337381832746
spice_movement_bias,0.00740808658600628,0.06642263367865829,0.7429524551398714,0.34652618749530584
tribe_movement_bias,0.0029492594354370784,0.06559187512618272,0.7429249462842924,0.17887533983539763
spice_threshold,0.20904302272922126,0.12193750184822727,1.0098138271026764,0.2918655553462363
