Parameter,S1,S1_conf,ST,ST_conf
n_tribes,0.27642351303153684,0.06938672852880624,0.7665257813851968,0.12375392328276343
n_heaps,0.08335578231930747,0.06567375471955517,0.5837175518631834,0.13342918324875888
vision_radius,0.0972935220280248,0.05780442317329183,0.4625803517848914,0.07026519679284313
trade_percentage,0.08170528453795727,0.06793724075312545,0.5538785724949857,0.10380387804012116
spice_movement_bias,0.09895208010909161,0.08804442382253774,0.6094446755516774,0.15748092427815147
tribe_movement_bias,0.08476998368186255,0.06425426387529921,0.4907959191001823,0.09786693020563288
spice_threshold,0.3275766887568818,0.08781192798128662,0.8331110631240899,0.12146490379864736
