Parameter,S1,S1_conf,ST,ST_conf
n_tribes,0.04573438693747243,0.07834122069597092,0.6824951640441483,0.12758875999773667
n_heaps,0.04177560352438932,0.08559573657957724,0.6867186139206096,0.12416837981198338
vision_radius,-0.0026511975023072246,0.0664089770338527,0.6733059417793923,0.137342046407051
trade_percentage,-0.011144323004384242,0.06595070880295606,0.6030173943291466,0.10997609513785987
spice_movement_bias,-0.02513902059168818,0.06237391728120907,0.5460562585622049,0.1047859728454573
tribe_movement_bias,0.04820831021906993,0.0601548350065853,0.5852396222141386,0.12780172798900782
spice_threshold,0.16287023882239474,0.08985089014837476,0.7349194548933756,0.12064303655828638
