Parameter,S1,S1_conf,ST,ST_conf,S2_n_tribes_n_agents,S2_conf_n_tribes_n_agents,S2_n_tribes_n_heaps,S2_conf_n_tribes_n_heaps,S2_n_tribes_vision_radius,S2_conf_n_tribes_vision_radius,S2_n_tribes_alpha,S2_conf_n_tribes_alpha,S2_n_tribes_trade_percentage,S2_conf_n_tribes_trade_percentage,S2_n_tribes_spice_movement_bias,S2_conf_n_tribes_spice_movement_bias,S2_n_tribes_tribe_movement_bias,S2_conf_n_tribes_tribe_movement_bias,S2_n_tribes_spice_threshold,S2_conf_n_tribes_spice_threshold,S2_n_agents_n_heaps,S2_conf_n_agents_n_heaps,S2_n_agents_vision_radius,S2_conf_n_agents_vision_radius,S2_n_agents_alpha,S2_conf_n_agents_alpha,S2_n_agents_trade_percentage,S2_conf_n_agents_trade_percentage,S2_n_agents_spice_movement_bias,S2_conf_n_agents_spice_movement_bias,S2_n_agents_tribe_movement_bias,S2_conf_n_agents_tribe_movement_bias,S2_n_agents_spice_threshold,S2_conf_n_agents_spice_threshold,S2_n_heaps_vision_radius,S2_conf_n_heaps_vision_radius,S2_n_heaps_alpha,S2_conf_n_heaps_alpha,S2_n_heaps_trade_percentage,S2_conf_n_heaps_trade_percentage,S2_n_heaps_spice_movement_bias,S2_conf_n_heaps_spice_movement_bias,S2_n_heaps_tribe_movement_bias,S2_conf_n_heaps_tribe_movement_bias,S2_n_heaps_spice_threshold,S2_conf_n_heaps_spice_threshold,S2_vision_radius_alpha,S2_conf_vision_radius_alpha,S2_vision_radius_trade_percentage,S2_conf_vision_radius_trade_percentage,S2_vision_radius_spice_movement_bias,S2_conf_vision_radius_spice_movement_bias,S2_vision_radius_tribe_movement_bias,S2_conf_vision_radius_tribe_movement_bias,S2_vision_radius_spice_threshold,S2_conf_vision_radius_spice_threshold,S2_alpha_trade_percentage,S2_conf_alpha_trade_percentage,S2_alpha_spice_movement_bias,S2_conf_alpha_spice_movement_bias,S2_alpha_tribe_movement_bias,S2_conf_alpha_tribe_movement_bias,S2_alpha_spice_threshold,S2_conf_alpha_spice_threshold,S2_trade_percentage_spice_movement_bias,S2_conf_trade_percentage_spice_movement_bias,S2_trade_percentage_tribe_movement_bias,S2_conf_trade_percentage_tribe_movement_bias,S2_trade_percentage_spice_threshold,S2_conf_trade_percentage_spice_threshold,S2_spice_movement_bias_tribe_movement_bias,S2_conf_spice_movement_bias_tribe_movement_bias,S2_spice_movement_bias_spice_threshold,S2_conf_spice_movement_bias_spice_threshold,S2_tribe_movement_bias_spice_threshold,S2_conf_tribe_movement_bias_spice_threshold
n_tribes,180.73124999999962,1.119723220318108e-13,55.124999999999886,1.399654025397635e-14,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
n_agents,-923.0203124999979,4.478892881272432e-13,1437.8203124999968,0.0,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
n_heaps,-1407.1218749999969,1.3436678643817297e-12,3341.531249999993,8.957785762544864e-13,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
vision_radius,152.76093749999959,5.59861610159054e-14,39.38281249999988,1.399654025397635e-14,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
alpha,-45.18281249999994,2.79930805079527e-14,3.4453124999999987,1.7495675317470437e-15,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
trade_percentage,103.27499999999971,0.0,17.999999999999947,0.0,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
spice_movement_bias,137.69999999999968,1.119723220318108e-13,31.999999999999925,1.399654025397635e-14,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
tribe_movement_bias,-1181.2078124999973,0.0,2354.6953124999955,1.7915571525089728e-12,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
spice_threshold,-374.3718749999992,1.119723220318108e-13,236.53124999999955,5.59861610159054e-14,1432.354687499997,4.478892881272432e-13,2750.714062499994,8.957785762544864e-13,-1497.3328124999964,4.478892881272432e-13,-958.2703124999979,4.478892881272432e-13,-1362.5671874999969,8.957785762544864e-13,-1456.3171874999966,8.957785762544864e-13,2135.4796874999956,8.957785762544864e-13,-61.78593749999976,4.1989620761929054e-14,3162.6445312499927,8.957785762544864e-13,-82.86328124999974,2.79930805079527e-14,328.9804687499993,1.119723220318108e-13,20.09765624999993,1.399654025397635e-14,-51.52734374999986,4.1989620761929054e-14,2692.605468749994,8.957785762544864e-13,1013.8945312499977,6.718339321908649e-13,1463.2968749999968,0.0,1440.2968749999968,0.0,1457.5468749999968,0.0,1461.5468749999968,0.0,1308.2968749999968,4.478892881272432e-13,1402.0468749999968,0.0,-249.17578124999932,1.119723220318108e-13,-299.3085937499992,1.119723220318108e-13,-310.9335937499992,1.119723220318108e-13,134.44921874999977,0.0,-138.0117187499996,5.59861610159054e-14,-1246.957812499997,0.0,-1349.4578124999969,8.957785762544864e-13,2577.5734374999947,8.957785762544864e-13,175.22968749999978,5.59861610159054e-14,-701.9499999999985,2.239446440636216e-13,983.7999999999979,2.239446440636216e-13,-47.44999999999976,0.0,269.9531249999993,1.119723220318108e-13,-116.76562499999972,8.397924152385811e-14,1185.6484374999973,4.478892881272432e-13
