width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,result
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,4
19.790499480441213,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,0
110.77309561893344,72.5649976823479,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,4
110.77309561893344,45.75393467210233,1.8494685450568795,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,33
110.77309561893344,45.75393467210233,9.158732116222382,75.74674566276371,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,6
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,9.06783125642687,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,0
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,6.507400163449347,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,6
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,456.4230444841087,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,0
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.9557918179780245,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.38884916063398123,7
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.42270785197615623,0.23850756138563156,0.46195466350764036,0.38884916063398123,4
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.7244257712736726,0.46195466350764036,0.38884916063398123,1
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.2696798425167799,0.38884916063398123,2
110.77309561893344,45.75393467210233,9.158732116222382,59.615163980051875,1.095215025357902,9.787773933261633,158.59331814572215,0.3544215699657798,0.9247747072950006,0.23850756138563156,0.46195466350764036,0.14454614277929068,0
110.77309561893344,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,0
19.790499480441213,45.75393467210233,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,0
19.790499480441213,72.5649976823479,9.158732116222382,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,0
19.790499480441213,72.5649976823479,1.8494685450568795,59.615163980051875,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,0
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,1.095215025357902,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,0
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,9.787773933261633,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,7
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,158.59331814572215,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,40
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.3544215699657798,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,0
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.9247747072950006,0.7244257712736726,0.2696798425167799,0.14454614277929068,0
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.23850756138563156,0.2696798425167799,0.14454614277929068,3
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.46195466350764036,0.14454614277929068,0
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.38884916063398123,0
19.790499480441213,72.5649976823479,1.8494685450568795,75.74674566276371,9.06783125642687,6.507400163449347,456.4230444841087,0.9557918179780245,0.42270785197615623,0.7244257712736726,0.2696798425167799,0.14454614277929068,37
