Parameter,S1,S1_conf,ST,ST_conf,S2_n_tribes_n_agents,S2_conf_n_tribes_n_agents,S2_n_tribes_n_heaps,S2_conf_n_tribes_n_heaps,S2_n_tribes_vision_radius,S2_conf_n_tribes_vision_radius,S2_n_tribes_alpha,S2_conf_n_tribes_alpha,S2_n_tribes_trade_percentage,S2_conf_n_tribes_trade_percentage,S2_n_tribes_spice_movement_bias,S2_conf_n_tribes_spice_movement_bias,S2_n_tribes_tribe_movement_bias,S2_conf_n_tribes_tribe_movement_bias,S2_n_tribes_spice_threshold,S2_conf_n_tribes_spice_threshold,S2_n_agents_n_heaps,S2_conf_n_agents_n_heaps,S2_n_agents_vision_radius,S2_conf_n_agents_vision_radius,S2_n_agents_alpha,S2_conf_n_agents_alpha,S2_n_agents_trade_percentage,S2_conf_n_agents_trade_percentage,S2_n_agents_spice_movement_bias,S2_conf_n_agents_spice_movement_bias,S2_n_agents_tribe_movement_bias,S2_conf_n_agents_tribe_movement_bias,S2_n_agents_spice_threshold,S2_conf_n_agents_spice_threshold,S2_n_heaps_vision_radius,S2_conf_n_heaps_vision_radius,S2_n_heaps_alpha,S2_conf_n_heaps_alpha,S2_n_heaps_trade_percentage,S2_conf_n_heaps_trade_percentage,S2_n_heaps_spice_movement_bias,S2_conf_n_heaps_spice_movement_bias,S2_n_heaps_tribe_movement_bias,S2_conf_n_heaps_tribe_movement_bias,S2_n_heaps_spice_threshold,S2_conf_n_heaps_spice_threshold,S2_vision_radius_alpha,S2_conf_vision_radius_alpha,S2_vision_radius_trade_percentage,S2_conf_vision_radius_trade_percentage,S2_vision_radius_spice_movement_bias,S2_conf_vision_radius_spice_movement_bias,S2_vision_radius_tribe_movement_bias,S2_conf_vision_radius_tribe_movement_bias,S2_vision_radius_spice_threshold,S2_conf_vision_radius_spice_threshold,S2_alpha_trade_percentage,S2_conf_alpha_trade_percentage,S2_alpha_spice_movement_bias,S2_conf_alpha_spice_movement_bias,S2_alpha_tribe_movement_bias,S2_conf_alpha_tribe_movement_bias,S2_alpha_spice_threshold,S2_conf_alpha_spice_threshold,S2_trade_percentage_spice_movement_bias,S2_conf_trade_percentage_spice_movement_bias,S2_trade_percentage_tribe_movement_bias,S2_conf_trade_percentage_tribe_movement_bias,S2_trade_percentage_spice_threshold,S2_conf_trade_percentage_spice_threshold,S2_spice_movement_bias_tribe_movement_bias,S2_conf_spice_movement_bias_tribe_movement_bias,S2_spice_movement_bias_spice_threshold,S2_conf_spice_movement_bias_spice_threshold,S2_tribe_movement_bias_spice_threshold,S2_conf_tribe_movement_bias_spice_threshold
n_tribes,-0.3520595991667089,1.0934797073419023e-16,0.07031249999999999,0.0,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
n_agents,1.877651195555781,4.3739188293676093e-16,2.0,0.0,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
n_heaps,1.5770160322224116,4.3739188293676093e-16,1.4108224971594494,4.3739188293676093e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
vision_radius,0.0,0.0,0.0,0.0,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
alpha,1.5410910755976692,1.312175648810283e-15,1.3472766108935563,4.3739188293676093e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
trade_percentage,0.9628980490029645,4.3739188293676093e-16,0.5259697567389874,2.1869594146838046e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
spice_movement_bias,0.8158841504498334,4.3739188293676093e-16,0.3776218820861678,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
tribe_movement_bias,1.102099614782741,4.3739188293676093e-16,0.6890359168241966,0.0,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
spice_threshold,0.6884721050371196,0.0,0.26888888888888884,2.1869594146838046e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,0.3520595991667089,1.0934797073419023e-16,0.35205959916670926,1.0934797073419023e-16,0.35205959916670915,0.0,0.3520595991667089,1.0934797073419023e-16,0.3520595991667088,1.0934797073419023e-16,0.35205959916670904,2.1869594146838046e-16,-2.8877104427701896,8.747837658735219e-16,-0.14495236692749325,5.4673985367095116e-17,-2.8252294895690024,0.0,-1.81963185410698,4.3739188293676093e-16,-1.5639441824036835,0.0,-2.061732258231841,8.747837658735219e-16,-1.3423482002608262,4.3739188293676093e-16,0.4392153319995964,4.3739188293676093e-16,-2.6796525925287056,0.0,-1.5095026167183523,0.0,-1.21197514419088,0.0,-1.7912194506090993,4.3739188293676093e-16,-0.9541180013337369,4.3739188293676093e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5035836225398582,4.3739188293676093e-16,-1.338290582246818,8.747837658735219e-16,-1.6600929747013846,8.747837658735219e-16,-1.1950366139928499,0.0,-0.7969703726249955,2.1869594146838046e-16,-1.0602632391787314,0.0,-0.6797625804172032,2.1869594146838046e-16,-0.835357188484987,6.560878244051415e-16,-0.7592570567326812,2.1869594146838046e-16,-1.102099614782741,4.3739188293676093e-16
