,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_3_Nomads,Tribe_2_Spice,Tribe_3_Spice,Tribe_2_Clustering,Tribe_3_Clustering,Tribe_2_Trades,Tribe_3_Trades,Tribe_4_Nomads,Tribe_5_Nomads,Tribe_4_Spice,Tribe_5_Spice,Tribe_4_Clustering,Tribe_5_Clustering,Tribe_4_Trades,Tribe_5_Trades,Tribe_6_Nomads,Tribe_7_Nomads,Tribe_6_Spice,Tribe_7_Spice,Tribe_6_Clustering,Tribe_7_Clustering,Tribe_6_Trades,Tribe_7_Trades,Tribe_8_Nomads,Tribe_9_Nomads,Tribe_8_Spice,Tribe_9_Spice,Tribe_8_Clustering,Tribe_9_Clustering,Tribe_8_Trades,Tribe_9_Trades
11,380,87.45454545454545,12.909090909090908,186,194,497.09868141570223,376.5493985202159,0.008779670270312092,0.0074361184778342915,50.95454545454545,47.04545454545455,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,372,90.83333333333333,14.125,182,190,478.5824242715484,355.67026246912076,0.009411323422936544,0.0073179959083174255,53.833333333333336,48.791666666666664,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,372,93.61538461538461,14.846153846153847,182,190,462.1114141060074,344.68331885249347,0.009369624105173132,0.00723418626581196,56.5,50.19230769230769,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,368,96.10714285714286,15.75,180,188,456.1644595272863,327.4727189725044,0.009688603730361497,0.007191172365679695,58.57142857142857,51.535714285714285,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,363,98.7,16.0,179,184,441.8932661670332,315.08963949636177,0.009507398297854066,0.007255049322794919,60.233333333333334,52.6,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,359,100.03125,17.09375,178,181,441.19210741509187,306.8798998097429,0.009892030337355955,0.007330938169085988,62.0625,53.5625,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,351,101.6470588235294,17.58823529411765,172,179,433.1746908531552,294.9110379788384,0.0097865855523297,0.00700745517069742,64.17647058823529,54.529411764705884,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,342,102.77777777777777,18.194444444444443,167,175,431.61572216406523,285.37014600815013,0.010139689814727359,0.006733850905242977,66.05555555555556,55.27777777777778,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,335,103.78947368421052,18.57894736842105,165,170,426.75404814257433,281.0273410179389,0.010116276602390652,0.0073310818584332695,67.21052631578948,55.578947368421055,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,323,104.5,18.9,162,161,422.79501872361675,277.2231913533151,0.010462346823423715,0.007437359641207516,68.375,55.75,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,318,105.23809523809524,19.38095238095238,158,160,422.2288367217873,270.9640495884043,0.010066537150682205,0.006960993774646359,69.54761904761905,56.0,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,316,105.77272727272727,19.863636363636363,157,159,424.58840526424,262.8135549952519,0.010547910507821731,0.006813610986906986,70.86363636363636,56.06818181818182,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,310,106.04347826086956,20.456521739130434,155,155,422.45670105996726,259.091975932942,0.010595282160307815,0.006185359087448736,72.02173913043478,55.67391304347826,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,301,106.29166666666667,20.875,150,151,423.8085906462095,252.61364348321715,0.010164510138859493,0.0062560806321177425,72.72916666666667,55.520833333333336,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,292,106.38,21.3,147,145,425.3334024084054,252.53036122256069,0.009473575009793855,0.005956096110956751,73.28,55.36,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,282,106.34615384615384,21.346153846153847,142,140,429.21585119942233,252.39516055576598,0.00969980355860172,0.006045810258831969,74.09615384615384,55.15384615384615,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,271,106.62962962962963,21.425925925925927,139,132,432.0494276714192,245.66057464614192,0.010068860971315307,0.00604966239800962,74.64814814814815,54.925925925925924,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,264,106.39285714285714,21.339285714285715,136,128,443.7409496788842,247.66599427614796,0.00959269019654478,0.005969262796500047,75.07142857142857,54.67857142857143,ofat_results,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c5f2980>,<function no_river at 0x12c5f2ac0>,<function random_locations at 0x12c5f2c00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
