,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator
2,324,6.720300672542388,506.5,501.5,98,115,111,1100.768633704372,985.7457784679943,1477.9945035013475,5.444444444444445,6.052631578947368,8.538461538461538,31.375,34.7,31.15,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
3,285,8.845454545454546,691.5,713.0,84,95,106,1355.949015778053,1453.5163902658535,1433.4275902021188,7.636363636363637,5.0,13.25,27.866666666666667,31.716666666666665,31.116666666666667,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
4,273,23.209166901474596,833.0,892.5,98,103,72,1967.4105703038476,1942.7619241305392,1024.1000861376697,24.5,34.333333333333336,5.538461538461538,28.0375,33.7,31.375,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
5,288,26.033564814814813,950.0,1068.0,119,104,65,2229.0924325944256,2214.580031033447,1278.242413521096,29.75,34.666666666666664,5.416666666666667,35.27,37.41,28.09,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
6,300,34.906666666666666,1107.5,1234.0,92,110,98,1448.8398308144988,2690.182016322121,2462.537839173685,30.666666666666668,55.0,16.333333333333332,39.99166666666667,41.1,28.966666666666665,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
7,315,31.709788359788362,1252.5,1390.5,67,118,130,1384.7489518759858,2516.0552270198014,3549.2624455344608,16.75,39.333333333333336,32.5,37.56428571428572,45.83571428571429,33.635714285714286,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
8,356,39.74321161048689,1368.5,1543.5,70,113,173,1666.3739021579463,2382.4130042167426,4276.624532930017,14.0,28.25,57.666666666666664,36.79375,49.68125,45.65,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
9,405,46.96942974720753,1532.5,1688.0,50,137,218,978.8973960007652,3331.7198850698887,4840.379004806104,10.0,19.571428571428573,72.66666666666667,39.172222222222224,53.56666666666667,62.95,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
10,428,50.22680240320427,1651.0,1857.5,26,185,217,665.7618057141476,4870.696005269691,4543.5684098845,3.7142857142857144,30.833333333333332,72.33333333333333,36.495,61.975,80.05,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
0,738,61.5,0.0,0.0,246,246,246,738.0,738.0,738.0,61.5,61.5,61.5,0.0,0.0,0.0,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
1,416,8.6366818488529,298.0,177.0,135,147,134,894.9750116317085,1004.5273123042524,893.4722093924121,7.105263157894737,7.7368421052631575,11.166666666666666,29.75,31.75,25.7,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
2,316,6.453427494415488,550.0,513.0,107,102,107,1740.0798986097893,802.0036409349975,1070.0178908840915,6.294117647058823,6.375,6.6875,27.35,29.05,26.325,ofat_new_nominal_values,100,100,3,740,1,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
