,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades
3,281,7.240617243338617,716.0,633.0,144,72,2897.614525085629,948.4460436916826,10.285714285714286,4.235294117647059,47.13333333333333,35.2,ofat_results_sophie_coop_issue,100,100,3,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,65.0,772.473608490919,3.823529411764706,24.8,,,,
4,273,22.698091382301907,772.5,676.0,168,64,3430.029368781768,1081.5187455953292,33.6,3.3684210526315788,58.025,31.3375,ofat_results_sophie_coop_issue,100,100,3,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,41.0,686.6672779543289,8.2,21.5375,,,,
5,270,14.587160493827161,823.5,718.5,178,58,4119.905457007229,1002.2408433683285,19.77777777777778,3.2222222222222223,64.62,28.91,ofat_results_sophie_coop_issue,100,100,3,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,34.0,700.6823523262531,6.8,18.61,,,,
6,287,15.40998838559814,855.5,736.0,202,52,4785.628455149263,999.0954723939199,16.833333333333332,17.333333333333332,73.875,26.4,ofat_results_sophie_coop_issue,100,100,3,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,33.0,695.8363557438126,3.6666666666666665,17.383333333333333,,,,
7,303,16.5008885503935,907.0,777.5,240,37,5695.583894710741,822.4282022817841,18.46153846153846,12.333333333333334,85.55,24.0,ofat_results_sophie_coop_issue,100,100,3,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,26.0,593.3595072552224,4.333333333333333,15.992857142857142,,,,
8,332,27.424698795180724,950.0,819.0,254,53,5772.466809153642,1424.2614488851693,31.75,17.666666666666668,101.84375,23.04375,ofat_results_sophie_coop_issue,100,100,3,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,25.0,625.5181932994865,4.166666666666667,14.5,,,,
9,369,116.32813911472448,1002.5,901.5,289,55,6511.317167336158,1300.0394941154636,144.5,18.333333333333332,116.81111111111112,23.866666666666667,ofat_results_sophie_coop_issue,100,100,3,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,25.0,748.9781426292185,6.25,13.305555555555555,,,,
10,408,29.150081699346412,1084.5,984.0,322,59,6866.1946762675225,1661.4765161542937,32.2,19.666666666666668,132.775,23.57,ofat_results_sophie_coop_issue,100,100,3,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,27.0,769.0346353983612,13.5,12.435,,,,
0,900,56.25,0.0,0.0,225,225,675.0,675.0,56.25,56.25,0.0,0.0,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,225.0,675.0,56.25,0.0,225.0,675.0,56.25,0.0
1,359,7.622782583198944,358.5,260.5,96,93,714.0716242591864,566.0546289419053,5.333333333333333,15.5,23.2,21.2,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,87.0,513.987323382686,4.833333333333333,23.0,83.0,595.8096710022951,4.368421052631579,18.5
2,230,4.708898741418765,456.0,318.0,69,61,840.8964098107814,587.2073215580297,4.3125,3.210526315789474,20.925,18.225,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,47.0,450.66554795825346,9.4,17.15,53.0,562.2126447439025,2.789473684210526,16.05
3,174,5.76128526645768,504.5,361.0,58,45,996.6851574393188,460.48653621408596,7.25,7.5,21.716666666666665,14.083333333333334,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,29.0,555.6986787842142,2.9,14.133333333333333,42.0,550.1999619920012,3.8181818181818183,14.483333333333333
4,145,6.773040752351097,536.0,388.5,56,31,1180.6097511579148,413.5643474229169,11.2,6.2,22.75,12.5875,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,24.0,618.9724111363258,2.4,12.525,34.0,494.85194370318396,3.090909090909091,12.65
5,140,9.452857142857145,549.0,395.0,57,30,1349.216941152077,416.85478315906613,19.0,2.5,22.65,11.02,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,23.0,631.5931590631848,2.3,11.66,30.0,438.53367029321925,3.75,11.68
6,135,9.381798941798943,561.5,401.0,63,27,1506.98402411226,440.6140125185789,15.75,2.7,23.458333333333332,9.758333333333333,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,23.0,725.6860791799353,5.75,10.791666666666666,22.0,344.50693532033733,3.142857142857143,10.516666666666667
7,136,14.675919117647059,570.0,408.5,72,23,1658.4805860738447,429.1268297414807,24.0,2.875,26.635714285714286,9.064285714285715,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,24.0,779.5180365336257,6.0,10.492857142857142,17.0,306.63303368510554,3.4,9.45
8,141,22.828140830800404,577.0,413.5,77,25,1706.4832091430628,534.9714150940315,38.5,3.125,29.74375,8.675,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,24.0,758.7566165821933,6.0,10.78125,15.0,265.7082526926712,2.142857142857143,8.51875
9,145,17.75191570881226,588.5,427.0,82,28,1777.563381773877,653.1374283420134,27.333333333333332,3.111111111111111,33.06666666666667,8.533333333333333,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,26.0,842.1299619813624,8.666666666666666,10.944444444444445,9.0,134.30256294840132,2.25,7.644444444444445
10,143,16.983877233877237,603.0,433.0,80,28,1946.5806315304567,621.2815656662642,26.666666666666668,3.111111111111111,34.615,8.765,ofat_results_sophie_coop_issue,100,100,4,900,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,28.0,889.5259705918455,7.0,11.31,7.0,120.64249686108495,1.75,6.895
0,500,62.5,0.0,0.0,250,250,750.0,750.0,62.5,62.5,0.0,0.0,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
1,313,10.10903887113951,101.5,48.0,167,146,615.7665030283121,454.0992878369168,10.4375,9.733333333333333,37.3,27.6,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
2,205,7.906651884700665,137.0,63.0,112,93,554.0995641395364,425.4459732627164,10.181818181818182,5.166666666666667,33.9,25.75,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
3,152,6.339344865660655,155.5,71.0,80,72,537.6350400915835,479.4949081773658,6.153846153846154,6.545454545454546,32.233333333333334,24.066666666666666,ofat_results_sophie_coop_issue,100,100,2,500,2,10,100,0.5,0.5,1.0,0.0,9000,,,,<function gen_spice_map at 0x10713ede0>,<function no_river at 0x12a13ade0>,<function random_locations at 0x12a13af20>,,,,,,,,
