,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_2_Spice,Tribe_2_Clustering,Tribe_2_Trades,Tribe_3_Nomads,Tribe_3_Spice,Tribe_3_Clustering,Tribe_3_Trades,Tribe_4_Nomads,Tribe_4_Spice,Tribe_4_Clustering,Tribe_4_Trades,Tribe_5_Nomads,Tribe_5_Spice,Tribe_5_Clustering,Tribe_5_Trades,Tribe_6_Nomads,Tribe_6_Spice,Tribe_6_Clustering,Tribe_6_Trades,Tribe_7_Nomads,Tribe_7_Spice,Tribe_7_Clustering,Tribe_7_Trades,Tribe_8_Nomads,Tribe_8_Spice,Tribe_8_Clustering,Tribe_8_Trades
11,198,0.1707070707070707,0.1136,0.8864,138,60,1843.2980754137873,639.364996368327,0.1,0.3333333333333333,30.263636363636362,23.336363636363636,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,199,0.09011725293132328,0.11624326404926867,0.8837567359507313,140,59,1906.2122733596311,726.0429015031583,0.1,0.06666666666666667,29.995833333333334,21.908333333333335,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,198,0.09764309764309766,0.11578947368421053,0.8842105263157894,138,60,2006.606363702492,807.5719974117332,0.11111111111111112,0.06666666666666667,29.726923076923075,21.0,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,201,0.367226368159204,0.1184115523465704,0.8815884476534296,140,61,2113.481118103636,816.0055495735677,0.5,0.0625,30.314285714285713,20.264285714285716,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,202,0.41386138613861384,0.121049092131809,0.878950907868191,144,58,2216.5819577486827,775.0987131238601,0.5,0.19999999999999998,30.59,19.44333333333333,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,204,0.4526143790849673,0.11768447837150127,0.8823155216284987,146,58,2168.5530926728893,871.9474750749429,0.5,0.3333333333333333,30.73125,19.0875,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,207,0.4072463768115942,0.11605532170775706,0.8839446782922429,143,64,2148.121306729285,961.7351329065176,0.5,0.2,31.00588235294118,18.479411764705883,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,210,0.4014285714285714,0.11311198649409117,0.8868880135059088,141,69,2147.2890617659455,1025.128709025443,0.5,0.2,31.02777777777778,18.27777777777778,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,210,0.40285714285714286,0.11001556824078879,0.8899844317592112,142,68,2121.2742401318988,1058.8552644182237,0.5,0.19999999999999998,31.292105263157893,18.555263157894736,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,212,0.3981132075471698,0.10645313235986811,0.8935468676401319,140,72,2005.1327719069523,1114.6343972612106,0.5,0.2,31.1125,18.99,ofat_results_joana_500,500,500,2,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1998,0.25,0.0,0.0,666,666,1998.0,1998.0,0.25,0.25,0.0,0.0,ofat_results_joana_500,500,500,3,2000,2,2,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x104e70f40>,<function no_river at 0x1384e3e20>,<function random_locations at 0x1384e3f60>,666.0,1998.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,
