,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_3_Nomads,Tribe_2_Spice,Tribe_3_Spice,Tribe_2_Clustering,Tribe_3_Clustering,Tribe_2_Trades,Tribe_3_Trades,Tribe_4_Nomads,Tribe_5_Nomads,Tribe_4_Spice,Tribe_5_Spice,Tribe_4_Clustering,Tribe_5_Clustering,Tribe_4_Trades,Tribe_5_Trades,Tribe_6_Nomads,Tribe_7_Nomads,Tribe_6_Spice,Tribe_7_Spice,Tribe_6_Clustering,Tribe_7_Clustering,Tribe_6_Trades,Tribe_7_Trades,Tribe_8_Nomads,Tribe_9_Nomads,Tribe_8_Spice,Tribe_9_Spice,Tribe_8_Clustering,Tribe_9_Clustering,Tribe_8_Trades,Tribe_9_Trades
12,1081,0.10479714550019822,487.375,126.29166666666667,540,541,638.6314812424409,623.3780602960969,0.06666666666666667,0.14285714285714288,348.875,348.9166666666667,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1030,0.11132686084142396,478.03846153846155,126.03846153846153,513,517,588.283243557494,560.7471970467134,0.05555555555555555,0.16666666666666669,345.96153846153845,346.15384615384613,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,966,0.09381469979296067,470.25,126.07142857142857,482,484,532.1533151204535,509.6423466674668,0.0625,0.125,342.7857142857143,344.32142857142856,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,905,0.09809329954721056,459.53333333333336,127.73333333333333,449,456,492.73027906095757,471.9037768873304,0.05263157894736842,0.14285714285714285,339.26666666666665,342.3,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,848,0.06795867839153077,448.75,128.90625,420,428,456.78612385061246,445.776007678594,0.058823529411764705,0.07692307692307691,335.28125,340.375,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,781,0.08258268376874751,439.0882352941176,130.05882352941177,381,400,416.463220682544,410.36333953715183,0.052631578947368425,0.1111111111111111,330.38235294117646,339.4117647058824,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,726,0.10052910052910052,428.47222222222223,130.36111111111111,352,374,391.2117766638444,395.7754966258751,0.05555555555555556,0.14285714285714285,325.47222222222223,337.8333333333333,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,667,0.08952190571380977,417.7368421052632,130.55263157894737,324,343,367.8619232540632,387.2625250290247,0.06666666666666667,0.11111111111111112,320.6578947368421,335.92105263157896,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,575,0.11132345914954608,407.1,130.325,275,300,348.2616183166261,385.54583490687423,0.07692307692307693,0.14285714285714285,315.175,332.55,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,530,0.13358490566037734,396.64285714285717,129.16666666666666,256,274,336.32409510169515,390.0759302905421,0.0625,0.19999999999999998,309.6190476190476,328.76190476190476,ofat_results_joana_2,100,100,2,800,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12c4ced40>,<function no_river at 0x12c4cee80>,<function random_locations at 0x12c4cefc0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
