,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator,Tribe_2_Nomads,Tribe_3_Nomads,Tribe_2_Spice,Tribe_3_Spice,Tribe_2_Clustering,Tribe_3_Clustering,Tribe_2_Trades,Tribe_3_Trades,Tribe_4_Nomads,Tribe_5_Nomads,Tribe_4_Spice,Tribe_5_Spice,Tribe_4_Clustering,Tribe_5_Clustering,Tribe_4_Trades,Tribe_5_Trades,Tribe_6_Nomads,Tribe_7_Nomads,Tribe_6_Spice,Tribe_7_Spice,Tribe_6_Clustering,Tribe_7_Clustering,Tribe_6_Trades,Tribe_7_Trades,Tribe_8_Nomads,Tribe_9_Nomads,Tribe_8_Spice,Tribe_9_Spice,Tribe_8_Clustering,Tribe_9_Clustering,Tribe_8_Trades,Tribe_9_Trades
12,376,0.05409356725146199,84.29166666666667,10.583333333333334,188,188,398.26301730218694,401.4704615449743,0.052631578947368425,0.05555555555555556,48.541666666666664,46.375,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,370,0.05574428918082169,86.88461538461539,11.846153846153847,186,184,374.7688911421725,391.7769826019035,0.058823529411764705,0.05263157894736842,50.69230769230769,47.76923076923077,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,362,0.05263157894736842,88.39285714285714,13.285714285714286,184,178,356.8478775875816,389.68701084522826,0.05263157894736842,0.05263157894736842,52.464285714285715,49.25,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,357,0.052631578947368425,89.86666666666666,14.0,181,176,339.0381291727553,383.10044737868924,0.052631578947368425,0.052631578947368425,53.53333333333333,50.03333333333333,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,350,0.05408521303258145,91.3125,14.34375,176,174,320.29062663996484,377.4445253302534,0.052631578947368425,0.05555555555555555,54.46875,51.53125,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,341,0.05263157894736842,91.76470588235294,14.970588235294118,171,170,306.583012476252,380.32646313947276,0.05263157894736842,0.052631578947368425,54.970588235294116,52.0,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,335,0.05263157894736842,91.72222222222223,15.166666666666666,167,168,301.7859036209464,386.0272019516209,0.05263157894736842,0.052631578947368425,55.69444444444444,52.47222222222222,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,326,0.052631578947368425,91.57894736842105,15.421052631578947,163,163,294.495811927426,391.3655752877651,0.052631578947368425,0.052631578947368425,55.578947368421055,53.28947368421053,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,308,0.05263157894736842,91.675,15.625,155,153,287.3005855581332,394.73385615061835,0.05263157894736842,0.05263157894736842,55.4,54.25,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,299,0.0606802085382648,91.5952380952381,15.5,148,151,279.11523187410097,394.70528989691377,0.0588235294117647,0.0625,55.142857142857146,54.904761904761905,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,288,0.059600389863547765,91.36363636363636,15.272727272727273,143,145,277.25865397060096,391.41366103109107,0.06666666666666667,0.052631578947368425,54.97727272727273,54.70454545454545,ofat_results_joana,100,100,2,200,8,5,200,0.5,0.5,1.0,0.0,900,,,,<function gen_spice_map at 0x12b95af20>,<function no_river at 0x12b95b060>,<function random_locations at 0x12b95b1a0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
